time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
61.73,-0.0141511157676854,-0.0571239036819696,0.00414179822616454,0.0750021355415399,-0.450499333577799,0.248713013292116,-0.138864126069047,-0.0927998176508658,-0.00198004836853172,0.12504210147269,-0.240378565817445,0.0664118929120029
61.735,-0.0134282187126982,-0.0572305709393531,0.00422663584798678,0.0768533108528434,-0.448544693478375,0.24760996192411,-0.139136250118891,-0.0934848199781928,-0.0019598016898535,0.125694656041295,-0.238359010109384,0.0658791396830522
61.74,-0.0125647010751308,-0.0572590266834572,0.00431974155018124,0.0787140238805629,-0.446620103551237,0.246529124019483,-0.139426287659778,-0.0941388376722568,-0.00193228195439797,0.126362641748994,-0.236413338241487,0.0653615745228116
61.745,-0.0115699174694493,-0.0572114594566815,0.00441951779874422,0.0805713954787502,-0.444723966469799,0.245471600725732,-0.139724477423916,-0.0947667657209912,-0.00189465852257859,0.127050526512432,-0.234556468829443,0.0648630385489378
61.75,-0.0104562492455517,-0.057092063378213,0.0045242209756806,0.0824120047760513,-0.442854923555428,0.244438326794263,-0.140021623441807,-0.0953752631271425,-0.00184406711600818,0.127761430981038,-0.232803628796413,0.0643875516597105
61.755,-0.00923859699874936,-0.0569067909884087,0.00463201167856941,0.0842221752415874,-0.441011775131726,0.243430015178026,-0.140309395974647,-0.0959726303267573,-0.00177767264995337,0.12849699988684,-0.231169816849407,0.0639391752890415
61.76,-0.00793382513043951,-0.0566630418176529,0.00474100534691131,0.0859882723906509,-0.439193409246771,0.24244711573439,-0.140580610149569,-0.0965686343828807,-0.00169273547562622,0.129257321429118,-0.22966925729992,0.0635218702811874
61.765,-0.0065601812862752,-0.0563693009075378,0.00484932168105441,0.0876970022439388,-0.437398745248168,0.241489790315724,-0.14082947391856,-0.0971742861093288,-0.00158667945041661,0.130040897776338,-0.228314866757964,0.0631393555183282
61.77,-0.00513671316737329,-0.0560347435730432,0.00495513146809417,0.0893356998518536,-0.435626697623021,0.240557905784857,-0.141051796756567,-0.0978015745418916,-0.00145716011935105,0.130844668518789,-0.227117756330883,0.0627949730996294
61.775,-0.00368270394692068,-0.0556688239342812,0.0050566996108904,0.0908925978529455,-0.43387616413035,0.23965104565948,-0.141245150492773,-0.0984631652696649,-0.00130213119901024,0.131664087568708,-0.226086790919984,0.0624915657549219
61.78,-0.00221714537864715,-0.0552808651227785,0.00515242336431541,0.0923570661346592,-0.432146040626227,0.238768540200163,-0.141408974037487,-0.0991720700769474,-0.00111990751233084,0.132493252538733,-0.225228225031463,0.0622313717658463
61.785,-0.000758264775019961,-0.0548796685902747,0.00524086500865402,0.0937198151491952,-0.430435263194532,0.237909513849274,-0.141544614723976,-0.0999412961408717,-0.000909222534577413,0.133325084002826,-0.224545431283463,0.0620159419678199
61.79,0.000676881451888115,-0.0544731586775756,0.00532077842399518,0.0949730572155238,-0.428742876341558,0.23707294804564,-0.141655300677366,-0.100783483690776,-0.000669278781280272,0.134151550251222,-0.224038733654571,0.0618460824439151
61.795,0.00207273882016611,-0.0540680766407241,0.00539112926111988,0.0961106220918035,-0.42706812419089,0.236257756626969,-0.141746041107819,-0.101710541554648,-0.000399789400511057,0.13496393122733,-0.223705352703913,0.0617218253433819
61.8,0.00341550542319998,-0.0536697358191147,0.00545110862379938,0.0971280250998002,-0.425410559929118,0.235462870332706,-0.14182345463925,-0.102733290363533,-0.000101009525265364,0.135753113362107,-0.223539464772409,0.0616424289275167
61.805,0.0046933009841381,-0.0532818467235656,0.00550014037593314,0.098022487997398,-0.423770167304036,0.234687326373437,-0.141895529535992,-0.103861123299073,0.000226243804289913,0.136509905129618,-0.223532371850463,0.0616064065414439
61.81,0.00589625648891871,-0.0529064176866646,0.00553788235804085,0.0987929145181046,-0.422147486857877,0.23393035867216,-0.141971323671411,-0.105101694078091,0.000580584028262716,0.137225361501127,-0.223672773675103,0.0616115828167255
