run	report	run_family	profile	training_mode	mode	seed	selected_gate_softness	selected_gate_deadband	detector	auroc	best_signal	best_signal_auroc	auroc_logit	auroc_aleatoric	auroc_residual	auroc_forecast	auroc_epistemic	auroc_staleness	auroc_coherence	auroc_drift
v2_fc_ablation_det_aug_seed7	reports/v2_fc_ablation_det_aug_seed7/reliability_report.json	ablation	human	det_aug	eval	7.0000	8.0000	0.5447	fault_detection/test_id/sensor_delay_jitter	0.8607	coherence	0.9404	0.5312	0.4824			0.5505	0.4972	0.9404	0.5098
v2_fc_ablation_det_aug_seed7	reports/v2_fc_ablation_det_aug_seed7/reliability_report.json	ablation	human	det_aug	eval	7.0000	8.0000	0.5447	fault_detection/test_id/stuck_imu	0.9650	coherence	1.0000	0.6132	0.4651			0.5838	0.9647	1.0000	0.4927
v2_fc_ablation_det_aug_seed7	reports/v2_fc_ablation_det_aug_seed7/reliability_report.json	ablation	human	det_aug	eval	7.0000	8.0000	0.5447	fault_detection/test_ood/encoder_dropout	0.9871	staleness	0.9806	0.9273	0.4991			0.5888	0.9806	0.5004	0.4886
v2_fc_ablation_det_aug_seed7	reports/v2_fc_ablation_det_aug_seed7/reliability_report.json	ablation	human	det_aug	eval	7.0000	8.0000	0.5447	fault_detection/test_ood/imu_bias	0.5034	aleatoric	0.5558	0.5068	0.5558			0.4617	0.5023	0.4996	0.5002
v2_fc_ablation_det_aug_seed7	reports/v2_fc_ablation_det_aug_seed7/reliability_report.json	ablation	human	det_aug	eval	7.0000	8.0000	0.5447	fault_detection/test_ood/insole_missing	0.9522	logit	0.9796	0.9796	0.2486			0.6185	0.8408	0.5004	0.2916
v2_fc_ablation_det_aug_seed7	reports/v2_fc_ablation_det_aug_seed7/reliability_report.json	ablation	human	det_aug	eval	7.0000	8.0000	0.5447	fault_detection/test_ood/packet_loss	0.9067	staleness	0.9573	0.5003	0.4992			0.4836	0.9573	0.4506	0.5004
v2_fc_ablation_det_aug_seed7	reports/v2_fc_ablation_det_aug_seed7/reliability_report.json	ablation	human	det_aug	eval	7.0000	8.0000	0.5447	fault_detection/test_ood/packet_loss_burst	0.8305	staleness	0.9217	0.5001	0.4981			0.4952	0.9217	0.0673	0.5001
v2_fc_ablation_det_aug_seed7	reports/v2_fc_ablation_det_aug_seed7/reliability_report.json	ablation	human	det_aug	eval	7.0000	8.0000	0.5447	fault_detection/test_ood/packet_loss_partial	0.9802	coherence	0.9999	0.4993	0.5006			0.4818	0.9586	0.9999	0.5001
v2_fc_ablation_det_aug_seed7	reports/v2_fc_ablation_det_aug_seed7/reliability_report.json	ablation	human	det_aug	eval	7.0000	8.0000	0.5447	fault_detection/test_ood/sensor_delay	0.9156	coherence	0.9890	0.4945	0.5476			0.5123	0.4982	0.9890	0.5045
v2_fc_ablation_det_aug_seed7	reports/v2_fc_ablation_det_aug_seed7/reliability_report.json	ablation	human	det_aug	eval	7.0000	8.0000	0.5447	fault_detection/test_ood/sensor_delay_jitter	0.8879	coherence	0.9644	0.5025	0.5382			0.5073	0.4979	0.9644	0.5024
