profile	scenario	n	our_rmse_mean	our_rmse_std	nature_rmse_mean	nature_rmse_std	rmse_delta_mean	rmse_delta_std	our_r2_mean	our_r2_std	nature_r2_mean	nature_r2_std	r2_delta_mean	r2_delta_std	our_wrong_mean	our_wrong_std	our_ungated_wrong_mean	our_ungated_wrong_std	gate_wrong_delta_mean	gate_wrong_delta_std	nature_wrong_mean	nature_wrong_std	wrong_delta_mean	wrong_delta_std	our_retained_mean	our_retained_std	our_ungated_retained_mean	our_ungated_retained_std	gate_retained_delta_mean	gate_retained_delta_std	gate_retained_ratio_mean	gate_retained_ratio_std	nature_retained_mean	nature_retained_std	retained_delta_mean	retained_delta_std	ungated_retained_delta_mean	ungated_retained_delta_std	mean_gate_mean	mean_gate_std	cl_net_moment_rms_reduction_ratio_mean	cl_net_moment_rms_reduction_ratio_std	cl_abs_work_reduction_ratio_mean	cl_abs_work_reduction_ratio_std	cl_fight_fraction_mean	cl_fight_fraction_std
human_measured	test_id/packet_loss	1.0000	0.1799	0.0000					0.7499	0.0000					0.0772	0.0000	0.0781	0.0000	-0.0009	0.0000					0.7296	0.0000	0.7604	0.0000	-0.0307	0.0000	0.9596	0.0000							0.9720	0.0000	0.0906	0.0000	0.0945	0.0000	0.2094	0.0000
human_measured	test_id/packet_loss_burst	1.0000	0.1813	0.0000					0.7458	0.0000					0.0775	0.0000	0.0786	0.0000	-0.0011	0.0000					0.7152	0.0000	0.7576	0.0000	-0.0424	0.0000	0.9440	0.0000							0.9553	0.0000	0.0884	0.0000	0.0918	0.0000	0.2115	0.0000
human_measured	test_id/packet_loss_partial	1.0000	0.1797	0.0000					0.7503	0.0000					0.0772	0.0000	0.0781	0.0000	-0.0009	0.0000					0.7304	0.0000	0.7605	0.0000	-0.0301	0.0000	0.9604	0.0000							0.9729	0.0000	0.0908	0.0000	0.0946	0.0000	0.2093	0.0000
human_measured	test_id/sensor_delay	1.0000	0.2203	0.0000					0.6249	0.0000					0.1088	0.0000	0.1114	0.0000	-0.0026	0.0000					0.6282	0.0000	0.6855	0.0000	-0.0573	0.0000	0.9164	0.0000							0.9579	0.0000	0.0662	0.0000	0.0599	0.0000	0.2674	0.0000
human_measured	test_id/sensor_delay_jitter	1.0000	0.2263	0.0000					0.6041	0.0000					0.1124	0.0000	0.1155	0.0000	-0.0031	0.0000					0.6267	0.0000	0.6841	0.0000	-0.0574	0.0000	0.9160	0.0000							0.9551	0.0000	0.0644	0.0000	0.0570	0.0000	0.2683	0.0000
human_measured	test_id/stuck_imu	1.0000	0.1853	0.0000					0.7346	0.0000					0.0772	0.0000	0.0863	0.0000	-0.0091	0.0000					0.6066	0.0000	0.7354	0.0000	-0.1288	0.0000	0.8249	0.0000							0.8697	0.0000	0.0770	0.0000	0.0720	0.0000	0.2185	0.0000
human_measured	test_ood/clean	1.0000	0.2782	0.0000					0.6419	0.0000					0.0639	0.0000	0.0710	0.0000	-0.0071	0.0000					0.6110	0.0000	0.6378	0.0000	-0.0268	0.0000	0.9579	0.0000							0.9490	0.0000	0.0841	0.0000	0.0699	0.0000	0.1910	0.0000
human_measured	test_ood/encoder_dropout	1.0000	0.3766	0.0000					0.3439	0.0000					0.1517	0.0000	0.1650	0.0000	-0.0133	0.0000					0.2272	0.0000	0.3956	0.0000	-0.1683	0.0000	0.5745	0.0000							0.8423	0.0000	0.0209	0.0000	0.0220	0.0000	0.2628	0.0000
human_measured	test_ood/imu_bias	1.0000	0.2805	0.0000					0.6359	0.0000					0.0614	0.0000	0.0687	0.0000	-0.0073	0.0000					0.5934	0.0000	0.6185	0.0000	-0.0250	0.0000	0.9595	0.0000							0.9497	0.0000	0.0819	0.0000	0.0674	0.0000	0.1858	0.0000
human_measured	test_ood/insole_missing	1.0000	0.3102	0.0000					0.5547	0.0000					0.0768	0.0000	0.0874	0.0000	-0.0105	0.0000					0.4597	0.0000	0.5242	0.0000	-0.0644	0.0000	0.8771	0.0000							0.9005	0.0000	0.0628	0.0000	0.0476	0.0000	0.2139	0.0000
